Parola,Traduzione,Nota,Esempio,FileVideo,Spiegazione
Наличник,Cornice decorativa,Tipico dell'architettura russa in legno.,Красивый резной наличник украшает старое окно. - Una bella cornice intagliata decora la vecchia finestra.,201_video.mp4,Декоративная рама вокруг окна или двери на стене дома.
Аперитив,Aperitivo,Популярная итальянская традиция.,Давай пойдём на аперитив! - Andiamo a fare l'aperitivo!,202_video.mp4,Это напиток перед едой или время с друзьями перед ужином.
Пчела,Ape,Sostantivo femminile,Пчела летит на цветок — L'ape vola sul fiore.,203_video.mp4,"Это насекомое, которое делает мёд."
Улей,Alveare,Sostantivo maschile,Пчёлы живут в улье. - Le api vivono nell'alveare.,204_video.mp4,Это дом для пчёл где они делают мёд
Сова,Gufo,Sostantivo femminile (usato anche per persone notturne),Ночью сова ловит мышей - Di notte il gufo cattura i topi,207_video.mp4,Это птица которая спит днём и охотится ночью
Мышца,Muscolo,Sostantivo femminile,У него сильные мышцы - Lui ha muscoli forti,208_video.mp4,Орган тела для движения
Спешка,Fretta,Существительное женского рода часто используется в выражении «в спешке».,Я забыл ключи из-за спешки — Ho dimenticato le chiavi per la fretta.,209_video.mp4,Это когда человек делает всё очень быстро потому что у него мало времени.
Сухой,Asciutto,Используется для одежды или погоды,Моё полотенце уже сухое - Il mio asciugamano è già asciutto,210_video.mp4,Это состояние когда нет воды или влаги
Орёл,Aquila,Символ силы и название города в России (вероятно опечатка слова Орёл),Орёл летит в небе. - L'aquila vola nel cielo.,211_video.mp4,Это большая и сильная птица
Снеговик,Pupazzo di neve,Deriva dalla parola 'снег' (neve),Дети лепят снеговика. - I bambini fanno un pupazzo di neve.,212_video.mp4,Фигура из снега которую делают дети зимой
Подсолнечник,Girasole,Мужской род (синоним подсолнух),В поле растёт высокий подсолнечник. - Nel campo cresce un alto girasole.,213_video.mp4,Это растение с жёлтым цветком из которого делают масло
Сливочный крем,Crema di panna,Обычно используется как начинка,Я люблю торт со сливочным кремом - Mi piace la torta con la crema di panna,214_video.mp4,Это сладкая масса из сливок для десертов и тортов
Горло,Gola,Sostantivo neutro,У меня болит горло — Mi fa male la gola,215_video.mp4,Часть шеи внутри для дыхания и еды
Несмотря на,Nonostante,Употребляется с существительным в винительном падеже.,Несмотря на дождь мы пошли гулять. - Nonostante la pioggia siamo andati a passeggiare.,216_video.mp4,Предлог. Используется когда что-то мешает но действие всё равно происходит.
Цена,Prezzo,Sostantivo femminile.,Какая цена билета? - Qual è il prezzo del biglietto?,217_video.mp4,Сумма денег за товар.
Случиться,Accadere,Verbo perfettivo (СВ),Что случилось? - Cosa è successo?,218_video.mp4,Когда что-то происходит (обычно неожиданно)
Бедствие,Disastro,Sostantivo neutro spesso usato per eventi naturali,Стихийное бедствие — Calamità naturale,219_video.mp4,Очень плохая и опасная ситуация или катастрофа
Опасный,Pericoloso,Aggettivo maschile,Этот зверь очень опасный. - Questo animale è molto pericoloso.,220_video.mp4,Это то что может быть плохо для жизни или здоровья
Детектив,Investigatore,Может быть частным или работать в полиции,Опытный детектив раскрыл это сложное дело - L'investigatore esperto ha risolto questo caso difficile,221_video.mp4,Человек который ищет преступников и разгадывает тайны
Опытный,Esperto,Si riferisce a chi ha molta pratica o competenza professionali.,Он очень опытный врач. - È un medico molto esperto.,222_video.mp4,"Человек, который много знает и умеет, потому что долго работал."
Акула,Squalo,Существительное женского рода,В океане плавает большая акула - Nell'oceano nuota un grande squalo,223_video.mp4,Это большая и опасная рыба которая живёт в море
Рыцарь,Cavaliere,Мужской род,Он настоящий рыцарь - Lui è un vero cavaliere,224_video.mp4,Это сильный воин на коне из старых историй и сказок
Гульба,Baldoria,Разговорное слово,Всю ночь продолжалась шумная гульба. - La rumorosa baldoria è continuata tutta la notte.,225_video.mp4,Шумное и долгое празднование с алкоголем
Судьба,Destino,Sostantivo femminile,Это моя судьба. - Questo è il mio destino.,226_video.mp4,Это события в жизни которые нельзя изменить
Корзина,Cestino,Существительное женского рода,Положи бумагу в корзину. - Metti la carta nel cestino.,227_video.mp4,Предмет для мусора или хранения вещей
Посудомойка,Lavastoviglie,Sostantivo femminile,Я включил посудомойку - Ho acceso la lavastoviglie,228_video.mp4,Машина для мытья грязной посуды.
Зубная нить,Filo interdentale,Composto da зубная (dentale) e нить (filo),Я использую зубную нить каждый день. - Uso il filo interdentale ogni giorno.,229_video.mp4,Тонкая нить для чистки зубов
Взвешивать,Pesare,Глагол действия,Я взвешиваю яблоки. - Peso le mele.,230_video.mp4,Узнать сколько весит предмет или человек
Казаться,Sembrare,Часто используется с косвенными местоимениями (мне кажется),Это кажется интересным - Sembra interessante,231_video.mp4,Этот глагол описывает впечатление или мнение о чём-либо
Дурной,Cattivo,Si usa per descrivere un carattere difficile o abitudini negative.,Это дурная привычка — È una cattiva abitudine.,232_video.mp4,Это очень плохой или глупый человек.
Шарф,Sciarpa,Мужской род,Этот длинный шарф очень тёплый - Questa sciarpa lunga è molto calda,233_video.mp4,Это одежда которую носят на шее для тепла
Шиш,Niente (un fico secco),Разговорное и грубое,Он получил шиш вместо денег — Non ha ricevuto un fico secco,234_video.mp4,Это слово означает «ничего» или грубый жест пальцами
Чуть-чуть,Un po',Avverbio colloquiale per indicare una piccola quantità,Я чуть-чуть устал — Sono un po' stanco,235_video.mp4,Очень мало или немного.
Подождать,Aspettare,Совершенный вид (СВ). Употребляется с винительным падежом.,Подожди меня здесь пять минут. - Aspettami qui per cinque minuti.,236_video.mp4,Немного подождать или дождаться кого-то.
Неожиданный,Inaspettato,Aggettivo,Это был неожиданный подарок. - È stato un regalo inaspettato.,237_video.mp4,То что происходит вдруг и чего вы не ждали
Рецепт,Ricetta,Используется и в кулинарии и в медицине.,У меня есть отличный рецепт торта (Ho un'ottima ricetta per la torta).,238_video.mp4,Инструкция о том как готовить блюдо или покупать лекарство.
Удрать,Scappare / Svignarsela,Глагол совершенного вида (PF),Кот удрал через окно - Il gatto è scappato dalla finestra,239_video.mp4,Быстро убежать от кого-то или откуда-то
Хлам,Robaccia,Разговорное слово.,Выброси этот старый хлам! - Butta via questa vecchia robaccia!,240_video.mp4,Это старые и ненужные вещи.
Шастать,Gironzolare,Разговорное слово,Хватит шастать по комнате! - Smettila di gironzolare per la stanza!,241_video.mp4,Часто ходить туда и сюда без дела
Ныть,Lamentarsi,Indica un lamento continuo e fastidioso o un dolore fisico sordo,Перестань ныть! - Smettila di lamentarti!,242_video.mp4,Часто жаловаться на жизнь или чувствовать слабую боль.
Потеть,Sudare,Глагол несовершенного вида,В спортзале я всегда сильно потею. - In palestra sudo sempre molto.,243_video.mp4,Когда из кожи выходит вода если человеку очень жарко
Возня,Trambusto,Spesso riferito al gioco dei bambini o a piccoli movimenti.,Слышна детская возня - Si sente il trambusto dei bambini.,244_video.mp4,Это когда люди шумят и много двигаются.
Сразу,Subito,Indica un'azione immediata,Я сразу всё понял — Ho capito subito tutto,245_video.mp4,Очень быстро и без ожидания
Точно,Esattamente,Avverbio o particella di conferma.,Он пришёл точно в пять - È arrivato esattamente alle cinque.,246_video.mp4,Это слово значит что всё правильно или верно.
Объятие,Abbraccio,Существительное среднего рода,Тёплое объятие - Un caldo abbraccio,247_video.mp4,Это когда люди обнимают друг друга руками
Клавиша,Tasto,Si usa per tastiere di computer o strumenti musicali.,Нажми на эту клавишу. - Premi questo tasto.,248_video.mp4,Это часть клавиатуры компьютера или музыкального инструмента.
Медленно,Lentamente,Avverbio di modo derivato dall'aggettivo медленный.,Он говорит медленно - Parla lentamente.,249_video.mp4,Это значит не быстро.
Искушение,Tentazione,Существительное среднего рода,Шоколад — моё главное искушение (Il cioccolato è la mia principale tentazione),250_video.mp4,Это когда ты очень хочешь сделать что-то плохое или нельзя
Пуговица,Bottone,Femminile,У меня оторвалась пуговица. - Mi si è staccato un bottone.,251_video.mp4,Маленький предмет на одежде для застёгивания.
Привычка,Abitudine,Sostantivo femminile,У него есть хорошая привычка пить воду — Lui ha la buona abitudine di bere acqua,252_video.mp4,То что человек делает часто и обычно
Навык,Abilità,Si usa per competenze acquisite con l'esercizio.,У него есть навык работы в команде. - Ha la capacità di lavorare in squadra.,253_video.mp4,Это умение делать что-то очень хорошо после практики.
Обычай,Usanza,Sostantivo maschile,Это старый обычай - Questa è una vecchia usanza,254_video.mp4,Это традиция или правило народа.
Пугало,Spaventapasseri,Deriva dal verbo пугать (spaventare),В огороде стоит старое пугало. - Nel giardino c'è un vecchio spaventapasseri.,255_video.mp4,Это фигура человека в огороде чтобы птицы боялись
Пугать,Spaventare,Verbo imperfettivo (coppia: испугать),Не пугай меня! - Non spaventarmi!,256_video.mp4,Делать так чтобы человек боялся
Например,Per esempio,Вводное слово,"Я люблю фрукты, например, яблоки. - Mi piace la frutta, per esempio le mele.",257_video.mp4,Слово для примера
Лодка,Barca,Sostantivo femminile.,Это моя лодка - Questa è la mia barca.,258_video.mp4,Маленькое судно для плавания по воде.
Судно,Nave,Può riferirsi sia a grandi navi che a contenitori medici.,Большое судно в океане. - Una grande nave nell'oceano.,259_video.mp4,Это транспорт который плавает по воде.
Ревновать,Essere geloso,Глагол несовершенного вида (нсв),Он ревнует свою жену - Lui è geloso di sua moglie,260_video.mp4,Чувствовать страх когда любимый человек общается с другими
Дырка,Buco,Разговорное слово,У меня дырка в кармане - Ho un buco in tasca,261_video.mp4,Это пустое место в одежде или в предмете
Заплатка,Toppa,Используется для починки одежды или обуви,На куртке была синяя заплатка — Sulla giacca c'era una toppa blu,262_video.mp4,Маленький кусок ткани чтобы закрыть дырку на одежде
Овца,Pecora,Женский род,Овца ест траву. - La pecora mangia l'erba.,263_video.mp4,"Домашнее животное, которое даёт шерсть."
Расти,Crescere,Глагол несовершенного вида,Дети быстро растут. - I bambini crescono in fretta.,264_video.mp4,Становиться больше или выше
Ракушка,Conchiglia,Уменьшительное от слова раковина,Я нашёл ракушку на пляже — Ho trovato una conchiglia sulla spiaggia,265_video.mp4,Это твёрдый защитный слой морского моллюска
Улитка,Lumaca,Часто используется как метафора для медленного человека.,Улитка ползёт по листу — La lumaca striscia sulla foglia.,266_video.mp4,"Это маленькое животное с раковиной, которое очень медленно ползает."
Прошло,È passato,Si usa per descrivere il tempo trascorso o eventi conclusi al neutro.,Много времени прошло — È passato molto tempo,267_video.mp4,Это глагол «пройти» в прошедшем времени (средний род). Значит время закончилось.
Шутка,Scherzo,Sostantivo femminile,Это была просто шутка. - Era solo uno scherzo.,268_video.mp4,Это то что говорят или делают чтобы было смешно
Халат,Vestaglia/Accappatoio,Indica sia la vestaglia da casa che il camice medico.,Утром я надеваю тёплый халат. - Al mattino indosso una vestaglia calda.,267_video.mp4,Домашняя или рабочая одежда.
Расчёска,Pettine,Существительное женского рода,Где моя расчёска? - Dov'è il mio pettine?,268_video.mp4,Инструмент для расчёсывания волос
Унитаз,Water (WC),Sostantivo maschile,Унитаз чистый. - Il water è pulito.,269_video.mp4,Это предмет в туалете для гигиены
Наволочка,Federa,Sostantivo femminile,Чистая наволочка очень мягкая - La federa pulita è molto morbida,270_video.mp4,Это чехол из ткани для подушки
Ванна,Vasca da bagno,Sostantivo femminile.,Я принимаю горячую ванну. - Faccio un bagno caldo.,271_video.mp4,Большой предмет в комнате для мытья тела.
Халатный,Negligente,Indica un approccio superficiale e non professionale.,Халатное отношение к работе - Atteggiamento negligente verso il lavoro,272_video.mp4,Это когда человек делает работу плохо или несерьёзно.
Халатность,Negligenza,Spesso usato in ambito legale o lavorativo,Его уволили за халатность. (È stato licenziato per negligenza.),273_video.mp4,Это когда человек делает работу очень плохо и не думает о правилах.
Полотно,Tela,Si usa per il materiale o per un'opera d'arte.,Художник купил новое полотно - L'artista ha comprato una nuova tela,274_video.mp4,Это плотная ткань или картина на ткани.
Расчесать,Pettinare,Verbo perfettivo (СВ) / imperfettivo: расчёсывать,Мне нужно расчесать волосы - Devo pettinarmi i capelli,275_video.mp4,Сделать волосы аккуратными с помощью расчёски
Шёлк,Seta,Существительное мужского рода,Мой шарф сделан из шёлка (La mia sciarpa è fatta di seta),276_video.mp4,Это очень мягкая и красивая ткань для одежды
Скамейка,Panchina,In russo è un sostantivo femminile,Я сижу на скамейке в парке. - Siedo sulla panchina nel parco.,277_video.mp4,Это длинная мебель в парке или на улице для отдыха
Скамья,Panchina,Sostantivo femminile,Мы сидим на скамье в парке. - Siamo seduti sulla panchina nel parco.,278_video.mp4,Место для сидения на улице или в парке
Водитель трамвая,Tramviere,Профессия в городском транспорте,Водитель трамвая открыл двери - Il tramviere ha aperto le porte,279_video.mp4,Человек который водит трамвай
Одинаковый,Uguale,Может меняться по родам (одинаковая/одинаковое) и числам (одинаковые).,У нас одинаковые книги. - Abbiamo libri uguali.,280_video.mp4,Когда две вещи или два человека ничем не отличаются.
Младенец,Neonato,Используется для детей до года,Младенец спит в кроватке - Il neonato dorme nella culla,281_video.mp4,Это маленький ребёнок который только родился
Подросток,Adolescente,Deriva dal verbo подрастать (crescere),Этот подросток любит музыку - Questo adolescente ama la musica,282_video.mp4,Молодой человек или девушка в возрасте от 12 до 17 лет
Взрослый,Adulto,Può essere sia aggettivo che sostantivo,Мой брат уже взрослый - Mio fratello è già adulto,283_video.mp4,Это человек который уже не ребёнок
Пожилой,Anziano,Более вежливое слово чем «старый»,Этот пожилой мужчина очень добрый. - Questo uomo anziano è molto gentile.,284_video.mp4,Человек который уже не молодой но еще не очень старый
Кокос,Cocco,Мужской род,Я люблю кокос - Mi piace il cocco,285_video.mp4,Это большой тропический плод с белой мякотью
Наихудший,Il peggiore,Superlativo assoluto di плохой,Это наихудший сценарий - Questo è lo scenario peggiore,286_video.mp4,Самый плохой вариант или вещь
Сухой,Secco,Aggettivo maschile,Сухой хлеб - Pane secco,287_video.mp4,Когда нет воды или дождя
Мокрый,Bagnato,Aggettivo maschile,Мокрый пол — Pavimento bagnato,288_video.mp4,Когда на чём-то есть вода
Не за что,Di niente,Ударение падает на НЕ,- Спасибо! - Не за что. (- Grazie! - Di niente.),289_video.mp4,Это вежливый ответ на спасибо
Удачи,Buona fortuna,Часто используется при прощании,Удачи на экзамене! - Buona fortuna per l'esame!,290_video.mp4,Желаю успеха в делах
Родина,Patria,Sostantivo femminile,Россия — моя родина (La Russia è la mia patria),291_video.mp4,Место где человек родился
Спаржа,Asparago,Женский род,Я люблю спаржу - Mi piacciono gli asparagi,292_video.mp4,Полезный зеленый овощ
Лужа,Pozzanghera,Femminile.,На улице большая лужа - C'è una grande pozzanghera in strada.,293_video.mp4,Маленькая вода на земле после дождя.
Пыль,Polvere,Sostantivo femminile singolare.,На столе много пыли. - C'è molta polvere sul tavolo.,294_video.mp4,Мелкие сухие частицы в воздухе или на вещах.
Скатерть,Tovaglia,Женский род (3-е склонение),Белая скатерть на столе. - Una tovaglia bianca sul tavolo.,295_video.mp4,Это красивая ткань на стол для еды.
Прыгать,Saltare,Глагол несовершенного вида,Дети любят прыгать на кровати - I bambini amano saltare sul letto,296_video.mp4,Быстро перемещаться вверх отталкиваясь ногами
Прыжок,Salto,Sostantivo maschile,Высокий прыжок — Un salto alto,297_video.mp4,Движение вверх или вперёд после отталкивания ногами
Однако,Tuttavia,Может быть союзом или вводным словом,Он обещал прийти однако не пришёл (Lui ha promesso di venire tuttavia non è venuto),298_video.mp4,"Это слово значит ""но"" и показывает контраст"
Тем не менее,Tuttavia,Используется для связи предложений,Было холодно тем не менее мы пошли гулять - Faceva freddo tuttavia siamo andati a passeggiare,299_video.mp4,"Это слово значит ""но"" или ""всё равно"""
На мой взгляд,Secondo me,Si usa per introdurre un parere personale,"На мой взгляд, это отличная идея. - Secondo me, questa è un'ottima idea.",300_video.mp4,Это значит «я думаю» или «моё мнение»
Более того,Inoltre / Per di più,"Вводное выражение, выделяется запятой.","Он говорит на трёх языках. Более того, он пишет книги. - Parla tre lingue. Inoltre, scrive libri.",301_video.mp4,Используется для добавления новой и важной информации.
Всё равно,Non importa / È lo stesso,"Si usa spesso con il pronome al dativo (мне, тебе).",Мне всё равно. (Non mi importa.),302_video.mp4,"Это значит, что ситуация или выбор не имеют значения."
Не могу дождаться,Non vedo l'ora,Используется для выражения нетерпения,Не могу дождаться встречи! - Non vedo l'ora di incontrarti!,303_video.mp4,Я очень хочу чтобы это случилось скоро
Довольно,Abbastanza,Sinonimo di достаточно,Сегодня довольно тепло (Oggi fa abbastanza caldo),304_video.mp4,Это слово значит не очень много и не очень мало
Пожалуй,Forse/Probabilmente,Si usa per esprimere un'opinione o una scelta con una sfumatura di esitazione,Пожалуй я пойду домой - Forse andrò a casa,305_video.mp4,Это слово выражает неуверенное согласие или вероятность.
Неужели,Davvero? / Ma veramente?,Частица,Неужели ты не знал? – Davvero non lo sapevi?,306_video.mp4,Это слово выражает удивление или сомнение.
Не стоит,Non ne vale la pena / Non c'è di che,Si usa per rifiutare un'offerta o rispondere a un ringraziamento.,— Спасибо за помощь! — Не стоит. (— Grazie per l'aiuto! — Non c'è di che.),307_video.mp4,"Это значит, что делать что-то не нужно или не обязательно."
Забывать,Dimenticare,Verbo imperfettivo (НСВ). Coppia: забыть (СВ),Я часто забываю ключи дома — Dimentico spesso le chiavi a casa,308_video.mp4,Не помнить информацию или оставить вещь где-то
Прощай,Addio,Si usa per un addio definitivo o per un lungo periodo,Прощай мой друг! - Addio amico mio!,309_video.mp4,Это слово говорят при расставании навсегда или надолго
Довольный,Soddisfatto,"Si usa spesso la forma breve ""доволен"".",Он очень довольный - È molto soddisfatto.,310_video.mp4,Это когда человек рад и всё хорошо.
След,Traccia / Impronta,Può indicare un'impronta fisica o un segno astratto.,Я вижу след на песке - Vedo un'impronta sulla sabbia.,311_video.mp4,Это отпечаток ноги или колеса на земле или снегу.
Преступление,Delitto,Sostantivo neutro,Убийство — это страшное преступление (L'omicidio è un crimine terribile),312_video.mp4,Это действие которое нарушает закон
Трактор,Trattore,Sostantivo maschile,Трактор работает на ферме - Il trattore lavora nella fattoria,313_video.mp4,Это большая машина для работы в поле
Годнота,Roba di qualità,Популярно в интернете,"Посмотри этот фильм, это реальная годнота! - Guarda questo film, è roba di qualità!",314_video.mp4,Это сленг. Значит что-то очень хорошее или интересное.
Включить,Accendere,Perfettivo,Включить свет - Accendere la luce,315_video.mp4,Сделать так чтобы техника начала работать (свет или ТВ)
Переключатель,Interruttore,Существительное мужского рода,Где находится переключатель света? - Dove si trova l'interruttore della luce?,316_video.mp4,Это вещь для включения или смены режима работы
Песня,Canzone,Sostantivo femminile,Я люблю эту песню - Mi piace questa canzone,317_video.mp4,Музыка со словами которую поют люди
Терпеть,Sopportare,Verbo della II coniugazione (eccezione),Я не могу это терпеть - Non posso sopportarlo,319_video.mp4,Ждать или переносить что-то неприятное
Прощать,Perdonare,Глагол несовершенного вида (НСВ).,Я умею прощать ошибки. - So perdonare gli errori.,320_video.mp4,Извинять человека за ошибку или плохой поступок.
Шаг,Passo,Sostantivo maschile,Сделай один шаг вперед. - Fai un passo avanti.,321_video.mp4,Одно движение ногой при ходьбе
Вперёд,Avanti,Часто используется как команда или призыв,Шаг вперёд. - Un passo avanti.,322_video.mp4,Двигаться в направлении перед собой
На самом деле,In realtà,Locuzione avverbiale,На самом деле это не так. - In realtà non è così.,323_video.mp4,Используется для уточнения или исправления информации.
Голос,Voce,Мужской род,У неё красивый голос - Lei ha una bella voce,324_video.mp4,Звук человека при разговоре или пении
Должна,Deve,"Forma femminile singolare di ""должен""",Она должна работать. - Lei deve lavorare.,325_video.mp4,Это значит что женщина обязана что-то сделать
Пробка,Tappo / Ingorgo,Si usa sia per il tappo della bottiglia che per il traffico stradale,На дороге большая пробка - C'è un grande ingorgo stradale,326_video.mp4,Это предмет для бутылки или когда на дороге много машин
Наживаться,Arricchirsi (speculare),Si usa spesso in senso negativo (alle spalle di altri).,Он наживается на беде других - Si arricchisce sulle disgrazie altrui.,327_video.mp4,Получать много денег. Часто нечестно.
Называться,Chiamarsi (oggetti),Si usa per oggetti e titoli (non per persone),Как называется этот фильм? - Come si chiama questo film?,328_video.mp4,Когда мы говорим как называется предмет или книга
участок,terreno,Può indicare un lotto di terra o un distretto di polizia.,Мы купили участок земли. - Abbiamo comprato un lotto di terra.,329_video.mp4,Это часть земли или территория.
Вертолёт,Elicottero,Sostantivo maschile,Вертолёт летит в небе - L'elicottero vola nel cielo.,330_video.mp4,Это транспорт который летает в небе используя большие винты.
Король,Re,Si usa anche per il pezzo degli scacchi.,Король живёт в замке — Il re vive nel castello.,329_video.mp4,Правитель страны или важный человек.
Ящерица,Lucertola,Sostantivo femminile,Ящерица греется на солнце. - La lucertola si scalda al sole.,330_video.mp4,Это маленькое животное с длинным хвостом
огород,orto,Indica il terreno usato per coltivare verdure,У бабушки есть большой огород. - La nonna ha un grande orto.,331_video.mp4,Это место на улице где растут овощи как картофель или морковь
ограда,recinzione,Spesso indica una struttura decorativa o monumentale.,Вокруг парка стоит железная ограда. - Intorno al parco c'è una recinzione di ferro.,332_video.mp4,Это забор или стена вокруг дома или сада для защиты.
окраина,periferia,Обычно это жилые районы.,Он живёт на окраине. - Lui vive in periferia.,333_video.mp4,Часть города далеко от центра.
предместье,sobborgo,Sostantivo neutro spesso usato per zone residenziali storiche,Мы живём в тихом предместье - Viviamo in un sobborgo tranquillo,334_video.mp4,Район города который находится далеко от центра
настоящие,veri; reali; presenti,"Plurale di ""настоящий"" (significa sia reale che attuale).",Это настоящие цветы. - Questi sono fiori veri.,335_video.mp4,Это значит реальные или те которые есть сейчас.
Приз,Premio,Синоним: награда,Он получил первый приз — Ha ricevuto il primo premio,336_video.mp4,Это подарок или деньги за победу в соревновании
Гнездо,Nido,Sostantivo neutro,Птица строит гнездо - L'uccello costruisce il nido,337_video.mp4,Это уютный дом для птиц и их яиц
Ленивый,Pigro,Прилагательное мужского рода,Мой кот очень ленивый - Il mio gatto è molto pigro,338_video.mp4,Человек который не хочет работать или что-то делать
Скатерть,Tovaglia,Sostantivo femminile (3ª declinazione).,На столе лежит белая скатерть - Sul tavolo c'è una tovaglia bianca.,339_video.mp4,Это красивая ткань которую кладут на стол для еды.
Нехватка,Mancanza,Si usa spesso con il caso genitivo (нехватка чего?),Нехватка времени — Mancanza di tempo,340_video.mp4,Это когда чего-то слишком мало или совсем нет
избегать,evitare,Глагол несовершенного вида (управляет родительным падежом),Он старается избегать ошибок - Lui cerca di evitare gli errori,341_video.mp4,Стараться не делать что-то или не встречать кого-то.
влиять,influenzare,"Используется с предлогом ""на"" + винительный падеж (Acc.)",Погода влияет на здоровье. - Il tempo influenza la salute.,342_video.mp4,Изменять ситуацию или человека.
следствие,conseguenza / indagine,Sostantivo neutro,Следствие началось. - L'indagine è iniziata.,343_video.mp4,Это результат чего-то или работа полиции.
Изменять,Cambiare / Tradire,Verbo imperfettivo (perfettivo: изменить).,Нельзя изменять свои принципы - Non si devono cambiare i propri principi.,344_video.mp4,Делать что-то другим или быть неверным человеку.
Ягнёнок,Agnello,Sostantivo maschile,Ягнёнок гуляет на лугу. - L'agnello cammina nel prato.,345_video.mp4,Маленькая овца
Стараться,Sforzarsi / Impegnarsi,Verbo riflessivo imperfettivo,Я стараюсь говорить по-русски - Cerco di parlare in russo,346_video.mp4,Делать всё возможное для результата
Кольцо,Anello,Sostantivo neutro.,Золотое кольцо - Anello d'oro,347_video.mp4,Украшение на палец или предмет в форме круга.
Ожерелье,Collana,Средний род,У неё красивое ожерелье - Lei ha una bella collana,348_video.mp4,Украшение которое носят на шее
Лак для ногтей,Smalto,Si usa anche per indicare lo smalto dei denti o delle superfici.,Я купила новый красный лак для ногтей - Ho comprato un nuovo smalto rosso.,349_video.mp4,Это специальная краска для ногтей.
украшение,decorazione,Sostantivo neutro,Это красивое украшение для дома. - Questa è una bella decorazione per la casa.,354_video.mp4,Предмет для красоты
Разные,Diversi,Aggettivo plurale,У нас разные вкусы — Abbiamo gusti diversi,355_video.mp4,Это значит не одинаковые вещи или люди
Тормоз,Freno,Существительное (м.р.),Нажми на тормоз! - Premi il freno!,356_video.mp4,Это устройство для остановки машины или велосипеда.
Колесо,Ruota,Sostantivo neutro,У машины четыре колеса - L'auto ha quattro ruote,357_video.mp4,Круглый предмет для движения машины
Грузовик,Camion,Maschile,Этот грузовик очень большой. - Questo camion è molto grande.,358_video.mp4,Большая машина для перевозки грузов.
Грузить,Caricare,Usato per merci o dati digitali; in senso figurato significa stressare qualcuno.,Рабочие начали грузить мебель. - Gli operai hanno iniziato a caricare i mobili.,359_video.mp4,Класть тяжёлые вещи в машину или добавлять файлы в компьютер.
Добавлять,Aggiungere,Verbo imperfettivo (perfettivo: добавить),Я всегда добавляю сахар в чай. - Aggiungo sempre lo zucchero nel tè.,360_video.mp4,Делать больше или класть что-то ещё
Класть,Mettere,Несовершенный вид (НСВ) — совершенный вид: положить,Я кладу книгу на стол — Metto il libro sul tavolo,361_video.mp4,Помещать предмет на поверхность (горизонтально)
Средний род,Genere neutro,Один из трёх родов в русском языке вместе с мужским и женским,Яблоко — это средний род (La mela è genere neutro),359_video.mp4,Грамматическая категория для существительных которые оканчиваются на -о или -е
Мощность,Potenza,Используется в физике и технике.,Мощность этого мотора большая. - La potenza di questo motore è grande.,360_video.mp4,Это количество энергии или силы машины.
Гимн,Inno,Мужской род.,Мы поём национальный гимн. - Cantiamo l'inno nazionale.,361_video.mp4,Это торжественная песня страны или организации.
Многолюдный,Affollato,Происходит от слова «люди»,Этот ресторан всегда многолюдный. — Questo ristorante è sempre affollato.,362_video.mp4,Когда в одном месте очень много людей
Ложь,Bugia,Sostantivo femminile (3a declinazione),Это наглая ложь! - Questa è una bugia sfacciata!,363_video.mp4,Это когда человек говорит неправду.
беспокоить,disturbare,Глагол используется с винительным падежом,Извините что беспокою вас - Scusate se vi disturbo,366_video.mp4,Мешать человеку работать или отдыхать
Предсказать,Predire,Verbo perfettivo,Он смог предсказать погоду — Lui è riuscito a prevedere il tempo,367_video.mp4,Сказать заранее что случится в будущем
Заранее,In anticipo,Si usa spesso per ringraziare,Спасибо заранее - Grazie in anticipo,368_video.mp4,Сделать что-то раньше нужного времени
Печатать,Stampare,Используется для документов и книг.,Мне нужно напечатать этот документ - Devo stampare questo documento,369_video.mp4,Создавать текст или картинки на бумаге с помощью принтера.
Крепкий,Forte,Si usa per oggetti o bevande (caffè/tè).,Крепкий чай — Tè forte.,370_video.mp4,"Сильный, прочный, его трудно сломать."
Опечатка,Errore di battitura,"Deriva dal verbo ""печатать"" (digitare/stampare).",Извините это просто опечатка — Scusate è solo un errore di battitura.,371_video.mp4,Это маленькая ошибка в слове когда мы пишем текст.
Печать,Stampa / Timbro,Può indicare sia l'oggetto fisico che l'attività editoriale.,Поставь печать на документ - Metti il timbro sul documento,372_video.mp4,Инструмент для создания оттиска или процесс печатания текста.
Башня,Torre,В шахматах эта фигура называется «ладья»,Эйфелева башня очень красивая. - La Torre Eiffel è molto bella.,373_video.mp4,Высокое и узкое здание
Мешать,Disturbare / Mescolare,"Verbo polisemico: regge il dativo per ""disturbare"" e l'accusativo per ""mescolare""",Не мешай мне спать! (Non disturbarmi mentre dormo!) / Мешать сахар в кофе (Mescolare lo zucchero nel caffè),374_video.mp4,Это когда другой человек не может что-то делать из-за вас или когда вы крутите ложкой в еде
Крутить,Girare/Ruotare,Verbo imperfettivo (НСВ),Он любит крутить руль - Gli piace girare il volante,375_video.mp4,Вращать что-то или делать круговые движения
Руль,Volante,Мужской род (он),Держи руль двумя руками - Tieni il volante con due mani,376_video.mp4,Часть машины или велосипеда для выбора направления движения
Дарить,Regalare,Verbo imperfettivo (perfettivo: подарить) + dativo.,Я люблю дарить цветы — Mi piace regalare fiori.,377_video.mp4,Отдавать вещь другому человеку как подарок.
